#Clade                                                Targets  Neighbors  Unknowns  Split (%)  Parent  Dist(Parent)
tGCA_012915625.2_ASM1291562v2_genomic.fna             1        0          0         4.52       435     2.49e-05
tGCA_013167135.1_ASM1316713v1_genomic.fna             1        0          0         4.52       370     0.00011
tGCA_013167155.1_ASM1316715v1_genomic.fna             1        0          0         4.52       334     3.3e-05
tGCA_013167175.1_ASM1316717v1_genomic.fna             1        0          0         4.52       334     2.88e-05
tGCA_013167195.1_ASM1316719v1_genomic.fna             1        0          0         4.52       320     0.000117
tGCA_013167235.1_ASM1316723v1_genomic.fna             1        0          0         4.52       330     7.36e-05
tGCA_013167275.1_ASM1316727v1_genomic.fna             1        0          0         4.52       333     3.3e-05
tGCA_013167295.1_ASM1316729v1_genomic.fna             1        0          0         4.52       328     6.09e-05
tGCA_013167315.1_ASM1316731v1_genomic.fna             1        0          0         4.52       324     1.22e-05
tGCA_013167335.1_ASM1316733v1_genomic.fna             1        0          0         4.52       332     1.12e-05
tGCA_013167355.1_ASM1316735v1_genomic.fna             1        0          0         4.52       404     3.75e-05
tGCA_013167375.1_ASM1316737v1_genomic.fna             1        0          0         4.52       306     1.39e-05
tGCA_013167395.1_ASM1316739v1_genomic.fna             1        0          0         4.52       388     9.08e-05
tGCA_013167415.1_ASM1316741v1_genomic.fna             1        0          0         4.52       430     1.51e-06
tGCA_013167435.1_ASM1316743v1_genomic.fna             1        0          0         4.52       430     1.9e-06
tGCA_013167455.1_ASM1316745v1_genomic.fna             1        0          0         4.52       399     4.02e-05
tGCA_013167475.1_ASM1316747v1_genomic.fna             1        0          0         4.52       325     6.67e-05
tGCA_013167495.1_ASM1316749v1_genomic.fna             1        0          0         4.52       301     0.000299
tGCA_013167515.1_ASM1316751v1_genomic.fna             1        0          0         4.52       389     1.88e-05
tGCA_013167535.1_ASM1316753v1_genomic.fna             1        0          0         4.52       444     3.21e-05
tGCA_013167555.1_ASM1316755v1_genomic.fna             1        0          0         4.52       305     2.57e-05
tGCA_013167575.1_ASM1316757v1_genomic.fna             1        0          0         4.52       401     4.35e-06
tGCA_013167595.1_ASM1316759v1_genomic.fna             1        0          0         4.52       435     1.45e-05
tGCA_013167615.1_ASM1316761v1_genomic.fna             1        0          0         4.52       403     6.96e-05
tGCA_013167635.1_ASM1316763v1_genomic.fna             1        0          0         4.52       387     4.31e-06
tGCA_013167655.1_ASM1316765v1_genomic.fna             1        0          0         4.52       333     2.98e-05
tGCA_013167675.1_ASM1316767v1_genomic.fna             1        0          0         4.52       428     2.22e-05
tGCA_013167695.1_ASM1316769v1_genomic.fna             1        0          0         4.52       383     2.64e-05
tGCA_013167715.1_ASM1316771v1_genomic.fna             1        0          0         4.52       427     2.21e-05
tGCA_013167735.1_ASM1316773v1_genomic.fna             1        0          0         4.52       395     5.77e-05
tGCA_013167755.1_ASM1316775v1_genomic.fna             1        0          0         4.52       396     4.16e-05
tGCA_013167775.1_ASM1316777v1_genomic.fna             1        0          0         4.52       445     8.51e-05
tGCA_013167795.1_ASM1316779v1_genomic.fna             1        0          0         4.52       303     5.93e-05
tGCA_013167815.1_ASM1316781v1_genomic.fna             1        0          0         4.52       319     5.55e-05
tGCA_013167875.1_ASM1316787v1_genomic.fna             1        0          0         4.52       374     4.83e-05
tGCA_013168035.1_ASM1316803v1_genomic.fna             1        0          0         4.52       391     3.91e-05
tGCA_013168055.1_ASM1316805v1_genomic.fna             1        0          0         4.52       321     6.65e-05
tGCA_013168075.1_ASM1316807v1_genomic.fna             1        0          0         4.52       424     2.86e-05
tGCA_013168095.1_ASM1316809v1_genomic.fna             1        0          0         4.52       408     1.25e-05
tGCA_013168115.1_ASM1316811v1_genomic.fna             1        0          0         4.52       301     0.000337
tGCA_013168135.1_ASM1316813v1_genomic.fna             1        0          0         4.52       400     4.15e-05
tGCA_013168155.1_ASM1316815v1_genomic.fna             1        0          0         4.52       389     7.73e-05
tGCA_013168175.1_ASM1316817v1_genomic.fna             1        0          0         4.52       322     2.76e-05
tGCA_013168195.1_ASM1316819v1_genomic.fna             1        0          0         4.52       394     1.48e-05
tGCA_013168215.1_ASM1316821v1_genomic.fna             1        0          0         4.52       327     2.87e-05
tGCA_013168235.1_ASM1316823v1_genomic.fna             1        0          0         4.52       396     7.71e-05
tGCA_013168255.1_ASM1316825v1_genomic.fna             1        0          0         4.52       415     4.62e-05
tGCA_013343595.1_ASM1334359v1_genomic.fna             1        0          0         4.52       402     5.04e-05
tGCA_013343635.1_ASM1334363v1_genomic.fna             1        0          0         4.52       324     2.92e-05
tGCA_015353135.1_ASM1535313v1_genomic.fna             1        0          0         4.52       409     4.58e-05
tGCA_016458885.1_ASM1645888v1_genomic.fna             1        0          0         4.52       448     2.4e-05
tGCA_016458905.1_ASM1645890v1_genomic.fna             1        0          0         4.52       448     3.25e-05
tGCA_016458925.1_ASM1645892v1_genomic.fna             1        0          0         4.52       401     3.06e-05
tGCA_016458945.1_ASM1645894v1_genomic.fna             1        0          0         4.52       322     4.36e-05
tGCA_017164755.1_ASM1716475v1_genomic.fna             1        0          0         4.52       329     8.15e-06
tGCA_017164775.1_ASM1716477v1_genomic.fna             1        0          0         4.52       329     4.11e-06
tGCA_017164795.1_ASM1716479v1_genomic.fna             1        0          0         4.52       394     9.83e-05
tGCA_017164815.1_ASM1716481v1_genomic.fna             1        0          0         4.52       359     2.43e-07
tGCA_017164835.1_ASM1716483v1_genomic.fna             1        0          0         4.52       359     2.41e-07
tGCA_017164855.1_ASM1716485v1_genomic.fna             1        0          0         4.52       358     1.53e-06
tGCA_017164875.1_ASM1716487v1_genomic.fna             1        0          0         4.52       357     2.81e-06
tGCA_017164895.1_ASM1716489v1_genomic.fna             1        0          0         4.52       355     4.23e-06
tGCA_017164915.1_ASM1716491v1_genomic.fna             1        0          0         4.52       355     1.35e-06
tGCA_017164935.1_ASM1716493v1_genomic.fna             1        0          0         4.52       346     2.46e-06
tGCA_017164955.1_ASM1716495v1_genomic.fna             1        0          0         4.52       346     4.33e-06
tGCA_017164975.1_ASM1716497v1_genomic.fna             1        0          0         4.52       366     2.17e-06
tGCA_017164995.1_ASM1716499v1_genomic.fna             1        0          0         4.52       366     2.44e-06
tGCA_017165015.1_ASM1716501v1_genomic.fna             1        0          0         4.52       350     8.27e-06
tGCA_017165035.1_ASM1716503v1_genomic.fna             1        0          0         4.52       339     7.8e-06
tGCA_017165055.1_ASM1716505v1_genomic.fna             1        0          0         4.52       363     2.35e-06
tGCA_017165075.1_ASM1716507v1_genomic.fna             1        0          0         4.52       364     9.96e-07
tGCA_017165095.1_ASM1716509v1_genomic.fna             1        0          0         4.52       344     6.58e-06
tGCA_017165115.1_ASM1716511v1_genomic.fna             1        0          0         4.52       362     7.14e-06
tGCA_017165135.1_ASM1716513v1_genomic.fna             1        0          0         4.52       364     1.67e-06
tGCA_017165155.1_ASM1716515v1_genomic.fna             1        0          0         4.52       351     4.52e-06
tGCA_017165215.1_ASM1716521v1_genomic.fna             1        0          0         4.52       343     2.84e-06
tGCA_017165235.1_ASM1716523v1_genomic.fna             1        0          0         4.52       343     4.44e-06
tGCA_017165255.1_ASM1716525v1_genomic.fna             1        0          0         4.52       360     8.94e-06
tGCA_017165275.1_ASM1716527v1_genomic.fna             1        0          0         4.52       365     2.3e-05
tGCA_017165295.1_ASM1716529v1_genomic.fna             1        0          0         4.52       341     2.64e-05
tGCA_017165315.1_ASM1716531v1_genomic.fna             1        0          0         4.52       353     1.4e-05
tGCA_017165335.1_ASM1716533v1_genomic.fna             1        0          0         4.52       347     9.82e-06
tGCA_017165355.1_ASM1716535v1_genomic.fna             1        0          0         4.52       352     2.37e-05
tGCA_017165375.1_ASM1716537v1_genomic.fna             1        0          0         4.52       339     7.73e-06
tGCA_017165395.1_ASM1716539v1_genomic.fna             1        0          0         4.52       347     1.72e-05
tGCA_017165415.1_ASM1716541v1_genomic.fna             1        0          0         4.52       349     1.15e-05
tGCA_017165435.1_ASM1716543v1_genomic.fna             1        0          0         4.52       351     6.88e-06
tGCA_017165455.1_ASM1716545v1_genomic.fna             1        0          0         4.52       344     2.74e-05
tGCA_017357545.1_ASM1735754v1_genomic.fna             1        0          0         4.52       416     9.2e-06
tGCA_020423145.1_ASM2042314v1_genomic.fna             1        0          0         4.52       367     9.66e-05
tGCA_020423165.1_ASM2042316v1_genomic.fna             1        0          0         4.52       382     3.14e-05
tGCA_020423185.1_ASM2042318v1_genomic.fna             1        0          0         4.52       368     6.45e-05
tGCA_020423205.1_ASM2042320v1_genomic.fna             1        0          0         4.52       373     6.87e-05
tGCA_020423225.1_ASM2042322v1_genomic.fna             1        0          0         4.52       384     2.85e-05
tGCA_021166395.1_ASM2116639v1_genomic.fna             1        0          0         4.52       447     7.3e-07
tGCA_021166415.1_ASM2116641v1_genomic.fna             1        0          0         4.52       447     9.74e-07
tGCA_021166435.1_ASM2116643v1_genomic.fna             1        0          0         4.52       385     5.83e-05
tGCA_021184105.1_ASM2118410v1_genomic.fna             1        0          0         4.52       446     2.69e-06
tGCA_021184125.1_ASM2118412v1_genomic.fna             1        0          0         4.52       387     7.28e-06
tGCA_022558925.1_ASM2255892v1_genomic.fna             1        0          0         4.52       99      0.0032
tGCA_022869945.1_ASM2286994v1_genomic.fna             1        0          0         4.52       414     2.08e-06
tGCA_025252345.1_ASM2525234v1_genomic.fna             1        0          0         4.52       418     2.35e-05
tGCA_025252445.1_ASM2525244v1_genomic.fna             1        0          0         4.52       434     1.41e-05
tGCA_029590495.1_ASM2959049v1_genomic.fna             1        0          0         4.52       425     1.43e-05
tGCA_029962285.1_ASM2996228v1_genomic.fna             1        0          0         4.52       425     2.13e-05
tGCA_030908645.1_ASM3090864v1_genomic.fna             1        0          0         4.52       417     0.00011
tGCA_030908665.1_ASM3090866v1_genomic.fna             1        0          0         4.52       442     3.66e-06
tGCA_030908685.1_ASM3090868v1_genomic.fna             1        0          0         4.52       443     6.41e-07
tGCA_030908705.1_ASM3090870v1_genomic.fna             1        0          0         4.52       441     0
tGCA_030908725.1_ASM3090872v1_genomic.fna             1        0          0         4.52       443     5.76e-07
tGCA_030908745.1_ASM3090874v1_genomic.fna             1        0          0         4.52       420     2.46e-05
368                                                   1        0          1         4.52       367     3.15e-05
402                                                   1        0          1         4.52       398     2.44e-05
99                                                    1        0          1         4.52       98      0.00018
98                                                    1        0          2         4.52       97      0.000472
97                                                    1        0          57        4.38       96      0.000228
96                                                    1        0          58        4.38       93      0.000216
93                                                    1        0          61        4.37       87      0.000343
87                                                    1        0          67        4.36       86      0.00153
86                                                    1        0          182       3.92       85      0.00198
nGCA_000005845.2_ASM584v2_genomic.fna                 0        0          1         3.85       224     0
nGCA_000007445.1_ASM744v1_genomic.fna                 0        0          1         3.85       63      1.48e-05
nGCA_000009565.2_ASM956v1_genomic.fna                 0        0          1         3.85       254     0
nGCA_000010245.1_ASM1024v1_genomic.fna                0        0          1         3.85       227     1.44e-05
nGCA_000010385.1_ASM1038v1_genomic.fna                0        0          1         3.85       139     0.00305
nGCA_000010485.1_ASM1048v1_genomic.fna                0        0          1         3.85       14      0.00055
nGCA_000010745.1_ASM1074v1_genomic.fna                0        0          1         3.85       149     0.000297
nGCA_000010765.1_ASM1076v1_genomic.fna                0        0          1         3.85       105     0.000109
nGCA_000013265.1_ASM1326v1_genomic.fna                0        0          1         3.85       50      2.75e-05
nGCA_000013305.1_ASM1330v1_genomic.fna                0        0          1         3.85       34      0.00452
nGCA_000014845.1_ASM1484v1_genomic.fna                0        0          1         3.85       51      0.000476
nGCA_000017745.1_ASM1774v1_genomic.fna                0        0          1         3.85       113     0.00337
nGCA_000017765.1_ASM1776v1_genomic.fna                0        0          1         3.85       260     0.00205
nGCA_000017985.1_ASM1798v1_genomic.fna                0        0          1         3.85       251     6.99e-05
nGCA_000019385.1_ASM1938v1_genomic.fna                0        0          1         3.85       259     4.11e-06
nGCA_000019425.1_ASM1942v1_genomic.fna                0        0          1         3.85       170     1.72e-05
nGCA_000019645.1_ASM1964v1_genomic.fna                0        0          1         3.85       5       0.00612
nGCA_000022345.1_ASM2234v1_genomic.fna                0        0          1         3.85       210     5.98e-06
nGCA_000022665.2_ASM2266v1_genomic.fna                0        0          1         3.85       253     0
nGCA_000023365.1_ASM2336v1_genomic.fna                0        0          1         3.85       229     0
nGCA_000023665.1_ASM2366v1_genomic.fna                0        0          1         3.85       249     0.000214
nGCA_000025165.1_ASM2516v1_genomic.fna                0        0          1         3.85       295     0.000337
nGCA_000025745.1_ASM2574v1_genomic.fna                0        0          1         3.85       45      0.000125
nGCA_000026245.1_ASM2624v1_genomic.fna                0        0          1         3.85       118     0.00017
nGCA_000026265.1_ASM2626v1_genomic.fna                0        0          1         3.85       129     0.00107
nGCA_000026285.2_ASM2628v2_genomic.fna                0        0          1         3.85       37      0.000286
nGCA_000026345.1_ASM2634v1_genomic.fna                0        0          1         3.85       4       0.000113
nGCA_000026545.1_ASM2654v1_genomic.fna                0        0          1         3.85       11      0.000136
nGCA_000027125.1_ASM2712v1_genomic.fna                0        0          1         3.85       81      0.00662
nGCA_000091005.1_ASM9100v1_genomic.fna                0        0          1         3.85       110     0.000106
nGCA_000148365.1_ASM14836v1_genomic.fna               0        0          1         3.85       67      9.07e-05
nGCA_000148605.1_ASM14860v1_genomic.fna               0        0          1         3.85       50      6.52e-05
nGCA_000167875.2_ASM16787v2_genomic.fna               0        0          1         3.85       101     0.000542
nGCA_000183345.1_ASM18334v1_genomic.fna               0        0          1         3.85       75      9.56e-05
nGCA_000184185.1_ASM18418v1_genomic.fna               0        0          1         3.85       152     1.3e-05
